t	V	n	m	h
4.34	-69.7213	0.273546	0.0298863	0.645581
4.35	-69.7205	0.273461	0.029888	0.645701
4.36	-69.7197	0.273376	0.0298898	0.64582
4.37001	-69.7189	0.273291	0.0298917	0.64594
4.38001	-69.7181	0.273207	0.0298936	0.646059
4.39001	-69.7172	0.273123	0.0298955	0.646178
4.40001	-69.7164	0.273038	0.0298976	0.646297
4.41001	-69.7155	0.272954	0.0298997	0.646416
4.42001	-69.7146	0.27287	0.0299018	0.646534
4.43001	-69.7138	0.272787	0.029904	0.646653
4.44001	-69.7129	0.272703	0.0299063	0.646771
4.45001	-69.7119	0.27262	0.0299086	0.646889
4.46001	-69.711	0.272537	0.0299109	0.647007
4.47001	-69.7101	0.272454	0.0299134	0.647124
4.48001	-69.7091	0.272371	0.0299159	0.647242
4.49001	-69.7082	0.272289	0.0299184	0.647359
4.50001	-69.7072	0.272206	0.029921	0.647476
4.51001	-69.7062	0.272124	0.0299237	0.647593
4.52001	-69.7052	0.272042	0.0299264	0.64771
4.53001	-69.7042	0.27196	0.0299291	0.647827
4.54001	-69.7031	0.271879	0.0299319	0.647943
4.55001	-69.7021	0.271797	0.0299348	0.64806
4.56001	-69.7011	0.271716	0.0299377	0.648176
4.57001	-69.7	0.271635	0.0299407	0.648292
4.58001	-69.6989	0.271554	0.0299437	0.648407
4.59001	-69.6978	0.271473	0.0299468	0.648523
4.60001	-69.6967	0.271393	0.0299499	0.648638
4.61001	-69.6956	0.271312	0.0299531	0.648754
4.62001	-69.6945	0.271232	0.0299563	0.648869
4.63001	-69.6934	0.271152	0.0299596	0.648984
4.64001	-69.6922	0.271072	0.0299629	0.649098
4.65001	-69.6911	0.270993	0.0299663	0.649213
4.66001	-69.6899	0.270913	0.0299697	0.649327
4.67001	-69.6887	0.270834	0.0299731	0.649442
4.68001	-69.6876	0.270755	0.0299767	0.649556
4.69001	-69.6864	0.270676	0.0299802	0.649669
4.70001	-69.6852	0.270597	0.0299838	0.649783
4.71001	-69.6839	0.270518	0.0299875	0.649897
4.72001	-69.6827	0.27044	0.0299912	0.65001
4.73001	-69.6815	0.270362	0.0299949	0.650123
4.74001	-69.6802	0.270284	0.0299987	0.650236
4.75001	-69.679	0.270206	0.0300026	0.650349
4.76001	-69.6777	0.270128	0.0300064	0.650461
4.77001	-69.6764	0.270051	0.0300104	0.650574
4.78001	-69.6751	0.269973	0.0300143	0.650686
4.79001	-69.6738	0.269896	0.0300184	0.650798
4.80001	-69.6725	0.269819	0.0300224	0.65091
4.81002	-69.6712	0.269743	0.0300265	0.651022
4.82002	-69.6699	0.269666	0.0300307	0.651133
4.83002	-69.6685	0.26959	0.0300348	0.651245
4.84002	-69.6672	0.269513	0.0300391	0.651356
4.85002	-69.6658	0.269437	0.0300433	0.651467
4.86002	-69.6645	0.269361	0.0300476	0.651577
4.87002	-69.6631	0.269286	0.030052	0.651688
4.88002	-69.6617	0.26921	0.0300564	0.651799
4.89002	-69.6603	0.269135	0.0300608	0.651909
4.90002	-69.6589	0.26906	0.0300653	0.652019
4.91002	-69.6575	0.268985	0.0300698	0.652129
4.92002	-69.6561	0.26891	0.0300743	0.652239
4.93002	-69.6546	0.268835	0.0300789	0.652348
4.94002	-69.6532	0.268761	0.0300836	0.652457
4.95002	-69.6518	0.268687	0.0300882	0.652567
4.96002	-69.6503	0.268612	0.0300929	0.652676
4.97002	-69.6488	0.268539	0.0300977	0.652785
4.98002	-69.6474	0.268465	0.0301024	0.652893
4.99002	-69.6459	0.268391	0.0301073	0.653002
5.00002	-69.6444	0.268318	0.0301121	0.65311
5.01002	-69.6429	0.268245	0.030117	0.653218
5.02002	-69.6414	0.268172	0.0301219	0.653326
5.03002	-69.6399	0.268099	0.0301269	0.653434
5.04002	-69.6384	0.268026	0.0301319	0.653541
5.05002	-69.6369	0.267953	0.0301369	0.653649
5.06002	-69.6353	0.267881	0.030142	0.653756
5.07002	-69.6338	0.267809	0.0301471	0.653863
5.08002	-69.6322	0.267737	0.0301522	0.65397
5.09002	-69.6307	0.267665	0.0301574	0.654077
5.10002	-69.6291	0.267594	0.0301626	0.654183
5.11002	-69.6275	0.267522	0.0301678	0.654289
5.12002	-69.626	0.267451	0.0301731	0.654396
5.13002	-69.6244	0.26738	0.0301784	0.654502
5.14002	-69.6228	0.267309	0.0301837	0.654607
5.15002	-69.6212	0.267238	0.0301891	0.654713
5.16002	-69.6196	0.267167	0.0301945	0.654818
5.17002	-69.618	0.267097	0.0301999	0.654924
5.18002	-69.6164	0.267027	0.0302054	0.655029
5.19002	-69.6147	0.266957	0.0302109	0.655134
